Class,LOC,NOM,RFC,CBO,DIT,MPC,LCOM5,LCOM2,NOC,CYCLO,DAC
org.jfree.chart.labels.AbstractPieItemLabelGenerator,100.0,9.0,24.0,13.0,1.0,15.0,0.59375,0.5277777777777778,2.0,32.0,4.0,
org.jfree.chart.labels.AbstractXYItemLabelGenerator,145.0,15.0,35.0,14.0,1.0,24.0,0.6530612244897959,0.6095238095238096,3.0,41.0,7.0,
org.jfree.chart.labels.BoxAndWhiskerToolTipGenerator,43.0,4.0,16.0,9.0,2.0,13.0,1.1666666666666667,0.875,0.0,8.0,2.0,
org.jfree.chart.labels.BoxAndWhiskerXYToolTipGenerator,47.0,4.0,22.0,12.0,3.0,19.0,1.1666666666666667,0.875,0.0,10.0,2.0,
org.jfree.chart.labels.BubbleXYItemLabelGenerator,103.0,10.0,32.0,15.0,2.0,24.0,0.7777777777777778,0.7,0.0,30.0,4.0,
org.jfree.chart.annotations.CategoryLineAnnotation,173.0,19.0,53.0,23.0,1.0,34.0,0.738095238095238,0.6992481203007519,0.0,54.0,9.0,
org.jfree.chart.annotations.CategoryPointerAnnotation,204.0,23.0,68.0,28.0,3.0,45.0,0.8603896103896105,0.8229813664596273,0.0,50.0,16.0,
org.jfree.chart.annotations.CategoryTextAnnotation,106.0,11.0,43.0,23.0,2.0,32.0,0.65,0.5909090909090908,1.0,32.0,4.0,
org.jfree.chart.labels.CustomXYToolTipGenerator,70.0,8.0,18.0,9.0,1.0,10.0,0.7857142857142857,0.6875,0.0,21.0,2.0,
org.jfree.chart.labels.HighLowItemLabelGenerator,88.0,6.0,29.0,14.0,1.0,24.0,0.6666666666666667,0.5555555555555556,0.0,25.0,3.0,
org.jfree.chart.labels.IntervalCategoryItemLabelGenerator,46.0,4.0,13.0,10.0,2.0,11.0,1.1666666666666667,0.875,0.0,9.0,2.0,
org.jfree.chart.labels.IntervalCategoryToolTipGenerator,46.0,4.0,13.0,10.0,2.0,11.0,1.1666666666666667,0.875,0.0,9.0,2.0,
org.jfree.chart.labels.ItemLabelAnchor,152.0,4.0,7.0,6.0,1.0,3.0,0.9876543209876543,0.7407407407407407,0.0,59.0,2.0,
org.jfree.chart.labels.ItemLabelPosition,69.0,8.0,11.0,10.0,1.0,5.0,0.7428571428571429,0.65,0.0,24.0,5.0,
org.jfree.chart.labels.MultipleXYSeriesLabelGenerator,96.0,8.0,33.0,17.0,1.0,26.0,0.7714285714285715,0.675,0.0,26.0,5.0,
org.jfree.chart.labels.StandardCategoryItemLabelGenerator,34.0,6.0,7.0,8.0,1.0,4.0,1.1,0.9166666666666666,1.0,7.0,2.0,
org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,45.0,6.0,12.0,8.0,1.0,7.0,0.9333333333333333,0.7777777777777778,0.0,15.0,3.0,
org.jfree.chart.labels.StandardCategoryToolTipGenerator,31.0,5.0,7.0,8.0,1.0,4.0,1.125,0.9,2.0,7.0,2.0,
org.jfree.chart.labels.StandardPieSectionLabelGenerator,60.0,11.0,19.0,14.0,2.0,12.0,0.9,0.8181818181818181,0.0,15.0,3.0,
org.jfree.chart.labels.StandardPieToolTipGenerator,32.0,7.0,10.0,8.0,2.0,7.0,1.0555555555555556,0.9047619047619048,0.0,3.0,3.0,
org.jfree.chart.labels.StandardXYItemLabelGenerator,43.0,8.0,10.0,9.0,2.0,6.0,1.0714285714285714,0.9375,0.0,8.0,2.0,
org.jfree.chart.labels.StandardXYSeriesLabelGenerator,48.0,6.0,12.0,8.0,1.0,7.0,0.9333333333333333,0.7777777777777778,0.0,15.0,3.0,
org.jfree.chart.labels.StandardXYToolTipGenerator,45.0,9.0,13.0,10.0,2.0,8.0,1.0,0.8888888888888888,2.0,9.0,2.0,
org.jfree.chart.labels.StandardXYZToolTipGenerator,99.0,9.0,29.0,15.0,3.0,22.0,0.8125,0.7222222222222222,0.0,27.0,4.0,
org.jfree.chart.labels.SymbolicXYItemLabelGenerator,54.0,5.0,16.0,7.0,1.0,11.0,1.25,1.0,0.0,17.0,1.0,
org.jfree.chart.annotations.TextAnnotation,123.0,17.0,36.0,19.0,1.0,19.0,0.8697916666666666,0.8186274509803921,1.0,43.0,13.0,
org.jfree.chart.annotations.XYBoxAnnotation,127.0,9.0,35.0,21.0,1.0,28.0,0.484375,0.4305555555555556,0.0,32.0,11.0,
org.jfree.chart.annotations.XYDrawableAnnotation,87.0,5.0,22.0,20.0,1.0,17.0,0.45833333333333337,0.3666666666666667,0.0,24.0,6.0,
org.jfree.chart.annotations.XYImageAnnotation,115.0,12.0,38.0,26.0,1.0,27.0,0.7272727272727273,0.6666666666666667,0.0,33.0,6.0,
org.jfree.chart.annotations.XYLineAnnotation,131.0,8.0,36.0,25.0,1.0,29.0,0.5306122448979592,0.4642857142857143,0.0,33.0,9.0,
org.jfree.chart.annotations.XYPointerAnnotation,206.0,23.0,69.0,26.0,2.0,46.0,0.8603896103896105,0.8229813664596273,0.0,51.0,16.0,
org.jfree.chart.annotations.XYPolygonAnnotation,146.0,13.0,48.0,21.0,1.0,37.0,0.5833333333333334,0.5384615384615384,0.0,38.0,8.0,
org.jfree.chart.annotations.XYShapeAnnotation,125.0,9.0,49.0,21.0,1.0,42.0,0.42500000000000004,0.37777777777777777,0.0,29.0,9.0,
org.jfree.chart.annotations.XYTextAnnotation,190.0,23.0,55.0,28.0,1.0,32.0,0.8863636363636364,0.8478260869565217,1.0,59.0,15.0,
