Class,LOC,NOM,RFC,CBO,DIT,MPC,LCOM5,LCOM2,NOC,CYCLO,DAC
org.apache.abdera.Abdera,109.0,28.0,37.0,20.0,0.0,10.0,0.9629629629629629,0.9285714285714286,0.0,34.0,7.0,
org.apache.abdera.factory.ExtensionFactory,6.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,
org.apache.abdera.factory.ExtensionFactoryMap,70.0,7.0,28.0,8.0,1.0,21.0,-0.0,0.0,0.0,24.0,1.0,
org.apache.abdera.factory.Factory,87.0,85.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,
org.apache.abdera.factory.StreamBuilder,578.0,178.0,170.0,25.0,3.0,87.0,0.9548022598870056,0.949438202247191,0.0,194.0,3.0,
org.apache.abdera.filter.ListParseFilter,6.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,
org.apache.abdera.filter.ParseFilter,11.0,9.0,8.0,0.0,1.0,0.0,0.0,0.0,4.0,8.0,0.0,
org.apache.abdera.model.AtomDate,165.0,23.0,38.0,13.0,1.0,25.0,0.7575757575757577,0.7246376811594203,0.0,41.0,3.0,
org.apache.abdera.model.Attribute,6.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,
org.apache.abdera.model.Base,19.0,17.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,
org.apache.abdera.model.Categories,19.0,17.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,
org.apache.abdera.model.Category,8.0,6.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,
org.apache.abdera.model.Collection,26.0,24.0,19.0,0.0,3.0,0.0,0.0,0.0,0.0,19.0,0.0,
org.apache.abdera.model.Comment,7.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,
org.apache.abdera.model.Content,41.0,15.0,18.0,2.0,2.0,3.0,0.0,0.0,0.0,15.0,0.0,
org.apache.abdera.model.Control,5.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,
org.apache.abdera.model.DateTime,12.0,10.0,10.0,0.0,2.0,0.0,0.0,0.0,1.0,10.0,0.0,
org.apache.abdera.model.DateTimeWrapper,64.0,12.0,20.0,10.0,3.0,9.0,0.0,0.0,0.0,20.0,0.0,
org.apache.abdera.model.Div,10.0,8.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,
org.apache.abdera.model.Document,26.0,24.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,0.0,
org.apache.abdera.model.Element,37.0,35.0,27.0,0.0,1.0,0.0,0.0,0.0,7.0,27.0,0.0,
org.apache.abdera.model.ElementWrapper,204.0,59.0,78.0,21.0,2.0,39.0,-0.0,0.0,2.0,49.0,1.0,
org.apache.abdera.model.Entry,114.0,112.0,76.0,0.0,3.0,0.0,0.0,0.0,0.0,76.0,0.0,
org.apache.abdera.model.ExtensibleElement,16.0,14.0,5.0,0.0,2.0,0.0,0.0,0.0,11.0,5.0,0.0,
org.apache.abdera.model.ExtensibleElementWrapper,63.0,19.0,11.0,10.0,3.0,2.0,0.0,0.0,2.0,18.0,0.0,
org.apache.abdera.model.Feed,12.0,10.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,
org.apache.abdera.model.Generator,7.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,
org.apache.abdera.model.IRIElement,6.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,
org.apache.abdera.model.Link,48.0,13.0,13.0,0.0,3.0,0.0,1.0833333333333333,1.0,0.0,13.0,33.0,
org.apache.abdera.model.Person,14.0,12.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,0.0,
org.apache.abdera.model.PersonWrapper,98.0,14.0,28.0,10.0,4.0,15.0,0.0,0.0,0.0,34.0,0.0,
org.apache.abdera.model.ProcessingInstruction,9.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,
org.apache.abdera.model.Service,11.0,9.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,
org.apache.abdera.model.Source,84.0,82.0,59.0,0.0,3.0,0.0,0.0,0.0,2.0,59.0,0.0,
org.apache.abdera.model.Text,29.0,8.0,9.0,2.0,2.0,1.0,0.0,0.0,0.0,8.0,0.0,
org.apache.abdera.model.TextValue,7.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,
org.apache.abdera.model.Workspace,16.0,14.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,
org.apache.abdera.parser.NamedParser,4.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,
org.apache.abdera.parser.ParseException,15.0,4.0,2.0,2.0,1.0,1.0,1.3333333333333333,1.0,0.0,1.0,1.0,
org.apache.abdera.parser.Parser,20.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,
org.apache.abdera.parser.ParserFactory,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
org.apache.abdera.parser.ParserOptions,27.0,25.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,25.0,0.0,
org.apache.abdera.protocol.EntityProvider,7.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,
org.apache.abdera.protocol.error.Error,65.0,10.0,25.0,12.0,4.0,18.0,0.8888888888888888,0.8,0.0,19.0,4.0,
