Class,LOC,NOM,RFC,CBO,DIT,MPC,LCOM5,LCOM2,NOC,CYCLO,DAC
org.acra.ACRA,149.0,13.0,43.0,12.0,0.0,32.0,0.9583333333333334,0.8846153846153846,0.0,48.0,14.0,
org.acra.ACRAConfiguration,672.0,87.0,127.0,15.0,1.0,41.0,0.9830232558139536,0.9717241379310345,0.0,234.0,50.0,
org.acra.ACRAConfigurationException,6.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,
org.acra.ACRAConstants,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,
org.acra.BaseCrashReportDialog,41.0,3.0,24.0,6.0,1.0,21.0,0.5,0.33333333333333337,1.0,7.0,1.0,
org.acra.collector.CollectorUtil,9.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,
org.acra.collector.Compatibility,25.0,2.0,6.0,3.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,
org.acra.collector.ConfigurationCollector,134.0,4.0,33.0,8.0,0.0,29.0,1.222222222222222,0.9166666666666666,0.0,30.0,24.0,
org.acra.collector.CrashReportData,12.0,3.0,6.0,3.0,1.0,3.0,1.5,1.0,0.0,3.0,1.0,
org.acra.collector.CrashReportDataFactory,257.0,11.0,92.0,21.0,0.0,81.0,0.82,0.7454545454545455,0.0,72.0,5.0,
org.acra.collector.DeviceFeaturesCollector,30.0,1.0,15.0,6.0,0.0,14.0,0.0,0.0,0.0,7.0,0.0,
org.acra.collector.DisplayManagerCollector,236.0,11.0,59.0,13.0,0.0,48.0,1.0,0.9090909090909091,0.0,78.0,2.0,
org.acra.collector.DropBoxCollector,74.0,1.0,28.0,9.0,0.0,27.0,0.0,0.0,0.0,21.0,2.0,
org.acra.collector.DumpSysCollector,26.0,1.0,18.0,7.0,0.0,17.0,0.0,0.0,0.0,5.0,0.0,
org.acra.collector.LogCatCollector,64.0,1.0,36.0,13.0,0.0,35.0,0.0,0.0,0.0,13.0,1.0,
org.acra.collector.LogFileCollector,23.0,2.0,12.0,7.0,0.0,10.0,0.0,0.0,0.0,5.0,0.0,
org.acra.collector.MediaCodecListCollector,180.0,3.0,29.0,9.0,0.0,26.0,1.0,0.6666666666666667,0.0,38.0,24.0,
org.acra.collector.ReflectionCollector,47.0,3.0,17.0,7.0,0.0,15.0,0.0,0.0,0.0,13.0,0.0,
org.acra.collector.SettingsCollector,83.0,4.0,26.0,9.0,0.0,22.0,0.0,0.0,0.0,30.0,0.0,
org.acra.collector.SharedPreferencesCollector,42.0,2.0,23.0,9.0,0.0,21.0,0.0,0.0,0.0,12.0,0.0,
org.acra.collector.ThreadCollector,16.0,1.0,10.0,3.0,0.0,9.0,0.0,0.0,0.0,4.0,0.0,
org.acra.CrashReportDialog,120.0,5.0,67.0,16.0,2.0,62.0,0.7083333333333334,0.5666666666666667,0.0,21.0,6.0,
org.acra.CrashReportFileNameParser,8.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,
org.acra.CrashReportFinder,25.0,2.0,9.0,5.0,0.0,7.0,-0.0,0.0,0.0,7.0,1.0,
org.acra.CrashReportPersister,253.0,6.0,42.0,17.0,0.0,37.0,0.95,0.7916666666666666,0.0,91.0,3.0,
org.acra.ErrorReporter,509.0,32.0,147.0,44.0,1.0,117.0,0.9166666666666667,0.8880208333333334,0.0,91.0,13.0,
org.acra.ErrorReporter.TimeHelper,9.0,2.0,3.0,2.0,0.0,1.0,-0.0,0.0,0.0,2.0,1.0,
org.acra.ErrorReporter.ReportBuilder,50.0,9.0,12.0,7.0,0.0,4.0,0.9166666666666666,0.8148148148148149,0.0,11.0,6.0,
