Class,LOC,NOM,RFC,CBO,DIT,MPC,LCOM5,LCOM2,NOC,CYCLO,DAC
SpecialSeq,25.0,4.0,14.0,5.0,3.0,10.0,0.6666666666666666,0.5,0.0,7.0,3.0,
Task1,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,
AptExample,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DistributedAnnotationFactory,15.0,3.0,5.0,6.0,1.0,2.0,1.0,0.6666666666666667,0.0,3.0,1.0,
DistributedAnnotationProcessor,25.0,3.0,13.0,5.0,1.0,10.0,-0.0,0.0,0.0,5.0,1.0,
DistributedAnnotationProcessor.ClassVisitor,5.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,
Junk1,8.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,
etc.testcases.taskdefs.javadoc.java.ClassToJavadoc,5.0,3.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,
Alpha,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
Beta,9.0,2.0,6.0,2.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,
A,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,
B,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,
C,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,
D,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
E,5.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
A.Inner,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
A.Inner.Inner2,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
ContainsOnlyInner,5.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
MethodParam,5.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
Outer,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Outer.Inner,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
APrivate,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
