Class,LOC,NOM,RFC,CBO,DIT,MPC,LCOM5,LCOM2,NOC,CYCLO,DAC
org.apache.commons.codec.binary.Base32,242.0,8.0,12.0,8.0,3.0,8.0,0.8979591836734694,0.7857142857142857,0.0,58.0,14.0,
org.apache.commons.codec.binary.Base32InputStream,12.0,3.0,4.0,6.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,
org.apache.commons.codec.binary.Base32OutputStream,12.0,3.0,4.0,6.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,
org.apache.commons.codec.binary.Base64,276.0,26.0,32.0,13.0,3.0,16.0,0.956923076923077,0.9201183431952663,0.0,78.0,13.0,
org.apache.commons.codec.binary.Base64InputStream,12.0,3.0,4.0,6.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,
org.apache.commons.codec.binary.Base64OutputStream,12.0,3.0,4.0,6.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,
org.apache.commons.codec.binary.BaseNCodec,174.0,22.0,26.0,9.0,2.0,11.0,0.9880952380952381,0.9431818181818182,2.0,53.0,12.0,
org.apache.commons.codec.binary.BaseNCodec.Context,19.0,2.0,6.0,5.0,0.0,4.0,1.0,0.5,0.0,2.0,8.0,
org.apache.commons.codec.binary.BaseNCodecInputStream,82.0,8.0,19.0,11.0,1.0,12.0,0.8928571428571429,0.78125,2.0,33.0,4.0,
org.apache.commons.codec.binary.BaseNCodecOutputStream,60.0,6.0,14.0,8.0,1.0,10.0,0.6,0.5,2.0,21.0,4.0,
org.apache.commons.codec.binary.BinaryCodec,116.0,11.0,13.0,8.0,2.0,5.0,1.0090909090909093,0.9173553719008265,0.0,45.0,11.0,
org.apache.commons.codec.binary.Hex,95.0,16.0,22.0,10.0,2.0,12.0,0.9600000000000001,0.9,0.0,24.0,5.0,
org.apache.commons.codec.binary.StringUtils,71.0,17.0,20.0,5.0,0.0,4.0,0.0,0.0,0.0,27.0,0.0,
org.apache.commons.codec.BinaryDecoder,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,
org.apache.commons.codec.BinaryEncoder,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,
org.apache.commons.codec.CharEncoding,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,
org.apache.commons.codec.Charsets,14.0,2.0,3.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,6.0,
org.apache.commons.codec.Decoder,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,
org.apache.commons.codec.DecoderException,15.0,4.0,2.0,2.0,1.0,1.0,1.3333333333333333,1.0,0.0,1.0,1.0,
org.apache.commons.codec.digest.B64,19.0,2.0,10.0,6.0,0.0,8.0,-0.0,0.0,0.0,4.0,1.0,
org.apache.commons.codec.digest.Crypt,24.0,4.0,7.0,2.0,0.0,6.0,0.0,0.0,0.0,16.0,0.0,
org.apache.commons.codec.digest.DigestUtils,184.0,54.0,31.0,6.0,0.0,7.0,1.0,0.9814814814814815,0.0,57.0,1.0,
