Class,LOC,NOM,RFC,CBO,DIT,MPC,LCOM5,LCOM2,NOC,CYCLO,DAC
org.apache.commons.io.ByteOrderMark,78.0,8.0,20.0,8.0,1.0,12.0,0.9642857142857143,0.84375,0.0,23.0,3.0,
org.apache.commons.io.comparator.AbstractFileComparator,18.0,3.0,6.0,3.0,1.0,4.0,0.0,0.0,9.0,5.0,0.0,
org.apache.commons.io.comparator.CompositeFileComparator,49.0,4.0,13.0,8.0,2.0,10.0,0.3333333333333333,0.25,0.0,13.0,2.0,
org.apache.commons.io.comparator.DefaultFileComparator,7.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,
org.apache.commons.io.comparator.DirectoryFileComparator,14.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,0.0,5.0,2.0,
org.apache.commons.io.comparator.ExtensionFileComparator,26.0,4.0,8.0,4.0,2.0,5.0,1.142857142857143,0.8571428571428572,0.0,3.0,7.0,
org.apache.commons.io.comparator.LastModifiedFileComparator,14.0,1.0,3.0,3.0,2.0,2.0,0.0,1.0,0.0,7.0,2.0,
org.apache.commons.io.comparator.NameFileComparator,22.0,4.0,7.0,4.0,2.0,4.0,1.142857142857143,0.8571428571428572,0.0,3.0,7.0,
org.apache.commons.io.comparator.PathFileComparator,22.0,4.0,7.0,4.0,2.0,4.0,1.142857142857143,0.8571428571428572,0.0,3.0,7.0,
org.apache.commons.io.comparator.ReverseComparator,16.0,3.0,7.0,5.0,2.0,4.0,-0.0,0.0,0.0,5.0,1.0,
org.apache.commons.io.comparator.SizeFileComparator,39.0,4.0,11.0,5.0,2.0,8.0,1.0666666666666667,0.8,0.0,13.0,5.0,
org.apache.commons.io.CopyUtils,84.0,11.0,9.0,12.0,0.0,7.0,0.9,0.8181818181818181,0.0,5.0,1.0,
org.apache.commons.io.DirectoryWalker,112.0,16.0,22.0,10.0,0.0,9.0,0.8666666666666667,0.8125,8.0,28.0,2.0,
