Class,LOC,NOM,RFC,CBO,DIT,MPC,LCOM5,LCOM2,NOC,CYCLO,DAC
org.apache.commons.lang.ArrayUtils,1699.0,202.0,78.0,31.0,0.0,54.0,0.9828358208955225,0.977970297029703,0.0,756.0,20.0,
org.apache.commons.lang.BitField,67.0,18.0,18.0,4.0,0.0,0.0,0.7647058823529411,0.7222222222222222,0.0,20.0,2.0,
org.apache.commons.lang.BooleanUtils,318.0,37.0,25.0,7.0,0.0,9.0,0.0,0.0,0.0,177.0,0.0,
org.apache.commons.lang.builder.CompareToBuilder,410.0,30.0,29.0,18.0,0.0,23.0,0.27586206896551724,0.2666666666666667,0.0,190.0,1.0,
org.apache.commons.lang.builder.EqualsBuilder,367.0,30.0,31.0,15.0,0.0,23.0,0.20689655172413793,0.19999999999999996,0.0,173.0,1.0,
org.apache.commons.lang.builder.HashCodeBuilder,279.0,36.0,39.0,20.0,0.0,28.0,0.6095238095238096,0.5925925925925926,0.0,101.0,3.0,
org.apache.commons.lang.builder.IDKey,21.0,3.0,4.0,4.0,0.0,1.0,0.25,0.16666666666666663,0.0,7.0,2.0,
org.apache.commons.lang.builder.ReflectionToStringBuilder,166.0,29.0,58.0,15.0,1.0,42.0,0.9464285714285714,0.9137931034482758,0.0,50.0,4.0,
org.apache.commons.lang.builder.StandardToStringStyle,132.0,43.0,84.0,3.0,2.0,41.0,1.0238095238095237,1.0,0.0,43.0,1.0,
org.apache.commons.lang.builder.ToStringBuilder,266.0,62.0,27.0,16.0,0.0,15.0,0.5368852459016393,0.5282258064516129,1.0,68.0,5.0,
org.apache.commons.lang.builder.ToStringStyle,792.0,114.0,108.0,17.0,1.0,39.0,0.9761742682096665,0.9676113360323887,7.0,213.0,21.0,
org.apache.commons.lang.builder.ToStringStyle.DefaultToStringStyle,9.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,
org.apache.commons.lang.builder.ToStringStyle.NoFieldNameToStringStyle,10.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,
org.apache.commons.lang.builder.ToStringStyle.ShortPrefixToStringStyle,11.0,2.0,5.0,2.0,2.0,3.0,2.0,1.0,0.0,2.0,1.0,
org.apache.commons.lang.builder.ToStringStyle.SimpleToStringStyle,14.0,2.0,8.0,2.0,2.0,6.0,2.0,1.0,0.0,2.0,1.0,
org.apache.commons.lang.builder.ToStringStyle.MultiLineToStringStyle,13.0,2.0,7.0,2.0,2.0,5.0,2.0,1.0,0.0,2.0,1.0,
org.apache.commons.lang.CharEncoding,19.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,5.0,6.0,
org.apache.commons.lang.CharRange,152.0,17.0,24.0,14.0,1.0,11.0,0.7125,0.6705882352941177,0.0,30.0,6.0,
org.apache.commons.lang.CharRange.CharacterIterator,55.0,5.0,8.0,7.0,1.0,3.0,0.5,0.4,0.0,24.0,3.0,
org.apache.commons.lang.CharSet,94.0,10.0,26.0,9.0,1.0,18.0,0.9861111111111112,0.8875,0.0,29.0,3.0,
org.apache.commons.lang.CharSetUtils,132.0,12.0,22.0,6.0,0.0,14.0,0.0,0.0,0.0,47.0,0.0,
org.apache.commons.lang.CharUtils,147.0,24.0,23.0,6.0,0.0,8.0,1.0260869565217392,0.9833333333333333,0.0,58.0,5.0,
org.apache.commons.lang.ClassUtils,469.0,36.0,96.0,14.0,0.0,75.0,0.9785714285714285,0.9513888888888888,0.0,174.0,8.0,
org.apache.commons.lang.Entities,589.0,13.0,49.0,14.0,0.0,39.0,1.0,0.9230769230769231,0.0,43.0,5.0,
org.apache.commons.lang.Entities.EntityMap,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,
org.apache.commons.lang.Entities.PrimitiveEntityMap,18.0,3.0,9.0,6.0,1.0,6.0,0.5,0.33333333333333337,1.0,5.0,2.0,
org.apache.commons.lang.Entities.MapIntMap,22.0,4.0,10.0,5.0,1.0,6.0,0.3333333333333333,0.25,2.0,6.0,2.0,
org.apache.commons.lang.Entities.HashEntityMap,5.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,
org.apache.commons.lang.Entities.TreeEntityMap,5.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,
org.apache.commons.lang.Entities.LookupEntityMap,22.0,3.0,4.0,2.0,2.0,1.0,0.25,0.16666666666666663,0.0,7.0,2.0,
org.apache.commons.lang.Entities.ArrayEntityMap,49.0,6.0,8.0,2.0,1.0,3.0,0.25,0.20833333333333337,1.0,12.0,4.0,
org.apache.commons.lang.Entities.BinaryEntityMap,44.0,5.0,7.0,3.0,2.0,3.0,0.0,0.0,0.0,13.0,0.0,
org.apache.commons.lang.null.Enum,177.0,16.0,48.0,16.0,1.0,32.0,0.9333333333333333,0.875,37.0,67.0,8.0,
org.apache.commons.lang.null.Enum.Entry,9.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,
org.apache.commons.lang.null.EnumUtils,20.0,6.0,10.0,8.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,
org.apache.commons.lang.null.ValuedEnum,34.0,5.0,15.0,8.0,2.0,10.0,0.875,0.7,3.0,11.0,2.0,
org.apache.commons.lang.enums.Enum,177.0,16.0,48.0,16.0,1.0,32.0,0.9333333333333333,0.875,0.0,67.0,8.0,
org.apache.commons.lang.enums.Enum.Entry,9.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,
org.apache.commons.lang.enums.EnumUtils,20.0,6.0,10.0,8.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,
org.apache.commons.lang.enums.ValuedEnum,55.0,6.0,24.0,12.0,2.0,18.0,0.9,0.75,0.0,22.0,2.0,
org.apache.commons.lang.exception.CloneFailedException,12.0,3.0,2.0,3.0,2.0,1.0,1.5,1.0,0.0,1.0,1.0,
org.apache.commons.lang.exception.ExceptionUtils,400.0,35.0,94.0,16.0,0.0,65.0,0.9294117647058824,0.9028571428571428,0.0,145.0,5.0,
org.apache.commons.lang.exception.Nestable,14.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,
org.apache.commons.lang.exception.NestableDelegate,159.0,13.0,49.0,14.0,1.0,39.0,0.9166666666666666,0.8461538461538461,0.0,50.0,7.0,
org.apache.commons.lang.exception.NestableError,67.0,17.0,21.0,7.0,1.0,11.0,0.7708333333333333,0.7254901960784313,2.0,20.0,3.0,
org.apache.commons.lang.exception.NestableException,67.0,17.0,21.0,7.0,1.0,11.0,0.7708333333333333,0.7254901960784313,2.0,20.0,3.0,
org.apache.commons.lang.exception.NestableRuntimeException,67.0,17.0,21.0,7.0,1.0,11.0,0.7708333333333333,0.7254901960784313,5.0,20.0,3.0,
org.apache.commons.lang.IllegalClassException,23.0,4.0,6.0,3.0,1.0,4.0,1.3333333333333333,1.0,0.0,2.0,1.0,
org.apache.commons.lang.IncompleteArgumentException,15.0,3.0,5.0,2.0,1.0,3.0,1.5,1.0,0.0,2.0,1.0,
