Class,LOC,NOM,RFC,CBO,DIT,MPC,LCOM5,LCOM2,NOC,CYCLO,DAC
org.acra.ACRAConfiguration,672.0,87.0,127.0,15.0,1.0,41.0,0.9830232558139536,0.9717241379310345,0.0,234.0,50.0,
org.acra.collector.CrashReportDataFactory,257.0,11.0,92.0,21.0,0.0,81.0,0.82,0.7454545454545455,0.0,72.0,5.0,
org.acra.collector.DisplayManagerCollector,236.0,11.0,59.0,13.0,0.0,48.0,1.0,0.9090909090909091,0.0,78.0,2.0,
org.acra.collector.MediaCodecListCollector,180.0,3.0,29.0,9.0,0.0,26.0,1.0,0.6666666666666667,0.0,38.0,24.0,
org.acra.ErrorReporter,509.0,32.0,147.0,44.0,1.0,117.0,0.9166666666666667,0.8880208333333334,0.0,91.0,13.0,
org.acra.ErrorReporter.TimeHelper,9.0,2.0,3.0,2.0,0.0,1.0,-0.0,0.0,0.0,2.0,1.0,
org.acra.ErrorReporter.ReportBuilder,50.0,9.0,12.0,7.0,0.0,4.0,0.9166666666666666,0.8148148148148149,0.0,11.0,6.0,
org.acra.sender.HttpSender,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
org.acra.SendWorker,97.0,6.0,28.0,11.0,1.0,22.0,0.5599999999999999,0.4666666666666667,0.0,26.0,5.0,
org.acra.util.HttpRequest,175.0,11.0,73.0,37.0,0.0,62.0,0.9,0.8181818181818181,0.0,44.0,6.0,
org.acra.util.HttpRequest.SocketTimeOutRetryHandler,27.0,2.0,5.0,5.0,1.0,3.0,-0.0,0.0,0.0,7.0,2.0,
org.acra.util.TlsSniSocketFactory,87.0,7.0,43.0,16.0,1.0,37.0,0.9166666666666666,0.7857142857142857,0.0,16.0,6.0,
org.acra.util.HttpRequestTest,33.0,2.0,17.0,8.0,0.0,15.0,1.0,0.5,0.0,4.0,1.0,
