Class,LOC,NOM,RFC,CBO,DIT,MPC,LCOM5,LCOM2,NOC,CYCLO,DAC
unalcol.ca.CambrianExtinctionCA,50.0,6.0,8.0,3.0,1.0,4.0,0.0,0.0,0.0,8.0,0.0,
unalcol.ca.CellularAutomata,97.0,12.0,20.0,6.0,0.0,9.0,0.18181818181818182,0.16666666666666663,1.0,25.0,1.0,
unalcol.evolution.es.CommaReplacement,12.0,3.0,3.0,5.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,
unalcol.evolution.es.ESReplacement,17.0,4.0,5.0,6.0,1.0,2.0,0.3333333333333333,0.25,2.0,3.0,2.0,
unalcol.evolution.es.PlusReplacement,15.0,3.0,6.0,5.0,2.0,4.0,0.0,0.0,0.0,3.0,0.0,
unalcol.evolution.ga.ClassicStrategy,45.0,3.0,20.0,13.0,2.0,18.0,0.5,0.33333333333333337,0.0,9.0,3.0,
unalcol.evolution.ga.GenerationalGA,15.0,2.0,3.0,9.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,
unalcol.evolution.ga.GeneticAlgorithm,17.0,2.0,3.0,10.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,
unalcol.evolution.ga.SteadyStateGA,15.0,2.0,3.0,9.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,
unalcol.evolution.genotype.binary.BinaryGenotype,20.0,6.0,7.0,3.0,2.0,2.0,0.6,0.5,1.0,5.0,1.0,
unalcol.evolution.genotype.binary.util.GrowingBinaryToIntArray,40.0,7.0,12.0,5.0,2.0,6.0,0.3333333333333333,0.2857142857142857,0.0,13.0,2.0,
unalcol.evolution.genotype.binary.util.GrowingBinaryToRealVector,62.0,5.0,24.0,8.0,2.0,20.0,0.41666666666666663,0.33333333333333337,0.0,14.0,3.0,
unalcol.evolution.genotype.binary.varlength.VariableLengthBinaryGenotype,25.0,7.0,12.0,4.0,3.0,5.0,0.75,0.6428571428571428,0.0,7.0,4.0,
unalcol.evolution.genotype.real.RealVectorGenotype,17.0,5.0,5.0,3.0,2.0,1.0,0.75,0.6,0.0,4.0,1.0,
unalcol.evolution.genotype.real.util.ScaleRealVectorGrowingFunction,19.0,4.0,9.0,4.0,2.0,6.0,-0.0,0.0,0.0,3.0,2.0,
unalcol.evolution.Genotype,13.0,4.0,6.0,3.0,1.0,2.0,0.0,0.0,2.0,5.0,0.0,
unalcol.evolution.GrowingFunction,31.0,7.0,17.0,8.0,1.0,10.0,0.0,0.0,3.0,11.0,0.0,
unalcol.evolution.haea.CAHAEA,9.0,2.0,3.0,7.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,
unalcol.evolution.haea.CAHaeaDescriptor,22.0,2.0,4.0,5.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,
unalcol.evolution.haea.CAHaeaStrategy,31.0,4.0,16.0,11.0,3.0,12.0,0.3333333333333333,0.25,0.0,6.0,1.0,
unalcol.evolution.haea.DCHaeaReplacement,37.0,2.0,16.0,8.0,2.0,14.0,-0.0,0.0,0.0,9.0,1.0,
unalcol.evolution.haea.HAEA,11.0,3.0,5.0,8.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,
unalcol.evolution.haea.HaeaDescriptor,13.0,3.0,5.0,4.0,1.0,3.0,1.5,1.0,0.0,3.0,1.0,
unalcol.evolution.haea.HaeaOperators,69.0,15.0,28.0,4.0,0.0,17.0,0.8035714285714286,0.75,1.0,19.0,4.0,
unalcol.evolution.haea.HaeaReplacement,37.0,2.0,14.0,6.0,1.0,12.0,-0.0,0.0,1.0,9.0,1.0,
