Class,LOC,NOM,RFC,CBO,DIT,MPC,LCOM5,LCOM2,NOC,CYCLO,DAC
evolutionaryagent.environtment.EaterTestArena,10.0,2.0,4.0,6.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,
evolutionaryagent.environtment.SimpleTestArena,10.0,2.0,4.0,6.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,
evolutionaryagent.environtment.TestArena,91.0,9.0,42.0,16.0,1.0,33.0,0.8571428571428572,0.7619047619047619,2.0,14.0,14.0,
evolutionaryagent.evolution.agent.EvolutionaryAgentProgram,15.0,4.0,4.0,2.0,1.0,0.0,0.8333333333333334,0.625,1.0,4.0,2.0,
evolutionaryagent.evolution.agent.Memory,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
evolutionaryagent.evolution.agent.teseo.AgentSquareData,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
evolutionaryagent.evolution.agent.teseo.interpreter.BitArrayTeseoInterpreter,39.0,9.0,13.0,6.0,1.0,4.0,0.85,0.7555555555555555,1.0,10.0,5.0,
evolutionaryagent.evolution.agent.teseo.interpreter.BitArrayTeseoInterpreterManager,48.0,9.0,27.0,11.0,1.0,18.0,1.0,0.8888888888888888,0.0,17.0,1.0,
evolutionaryagent.evolution.agent.teseo.interpreter.TeseoInterpreter,116.0,12.0,35.0,15.0,2.0,24.0,0.9740259740259739,0.8928571428571429,0.0,42.0,7.0,
evolutionaryagent.evolution.agent.teseo.InterpreterTeseoAgentProgram,78.0,12.0,27.0,11.0,2.0,15.0,0.8571428571428572,0.7857142857142857,0.0,21.0,7.0,
evolutionaryagent.evolution.agent.teseo.statement.Conditional,85.0,13.0,20.0,8.0,1.0,7.0,0.7291666666666666,0.6730769230769231,0.0,35.0,3.0,
evolutionaryagent.evolution.agent.teseo.statement.ConditionResult,8.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,
evolutionaryagent.evolution.agent.teseo.statement.Repeat,20.0,4.0,4.0,4.0,2.0,0.0,0.5,0.375,0.0,4.0,1.0,
evolutionaryagent.evolution.agent.teseo.statement.While,18.0,4.0,6.0,5.0,2.0,2.0,0.3333333333333333,0.25,0.0,4.0,1.0,
evolutionaryagent.evolution.agent.teseo.TeseoMemory,66.0,12.0,18.0,6.0,1.0,6.0,0.8099173553719009,0.7424242424242424,0.0,16.0,10.0,
evolutionaryagent.evolution.FitnessAgentProgram,47.0,5.0,21.0,13.0,1.0,16.0,0.625,0.5,0.0,9.0,2.0,
evolutionaryagent.evolution.GrowCompilerTeseoAgentProgram,19.0,3.0,9.0,5.0,1.0,6.0,0.0,0.0,0.0,3.0,0.0,
evolutionaryagent.iterative.InformedIterativePopulationOptimizer,39.0,4.0,20.0,12.0,1.0,16.0,0.6666666666666666,0.5,0.0,7.0,1.0,
MazeLanguageAgent,40.0,1.0,26.0,31.0,0.0,25.0,0.0,0.0,0.0,1.0,0.0,
evolutionaryagent.operators.binary.Cut,29.0,1.0,11.0,3.0,1.0,10.0,0.0,0.0,0.0,9.0,0.0,
evolutionaryagent.operators.binary.XOver,35.0,4.0,15.0,3.0,1.0,11.0,0.0,0.0,0.0,9.0,0.0,
evolutionaryagent.types.interpreter.Interpreter,10.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,
evolutionaryagent.types.interpreter.InterpreterManager,19.0,5.0,8.0,4.0,0.0,3.0,0.5,0.4,1.0,5.0,2.0,
evolutionaryagent.types.Pair,8.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,
evolutionaryagent.types.SparseMatrix,31.0,4.0,9.0,4.0,0.0,5.0,-0.0,0.0,0.0,10.0,1.0,
evolutionaryagent.types.statement.Action,13.0,3.0,3.0,2.0,1.0,0.0,0.5,0.33333333333333337,0.0,3.0,1.0,
evolutionaryagent.types.statement.Statement,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,
evolutionaryagent.types.statement.StatementSet,4.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,
InitialPositionTester,23.0,2.0,14.0,8.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,
