Class,LOC,NOM,RFC,CBO,DIT,MPC,LCOM5,LCOM2,NOC,CYCLO,DAC
com.google.common.base.Absent,61.0,14.0,17.0,13.0,2.0,5.0,1.0,0.9285714285714286,0.0,15.0,1.0,
com.google.common.base.AbstractIterator,52.0,7.0,10.0,5.0,1.0,3.0,0.5,0.4285714285714286,8.0,17.0,1.0,
com.google.common.base.Ascii,158.0,12.0,28.0,8.0,0.0,20.0,1.0909090909090908,1.0,0.0,39.0,40.0,
com.google.common.base.StringConverter,34.0,6.0,13.0,6.0,2.0,7.0,0.4,0.33333333333333337,0.0,8.0,3.0,
com.google.common.base.CharMatcher,1045.0,51.0,139.0,26.0,1.0,90.0,1.0186666666666666,0.9986928104575163,14.0,125.0,1.0,
com.google.common.base.CharMatcher.FastMatcher,10.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,5.0,2.0,0.0,
com.google.common.base.CharMatcher.NamedFastMatcher,10.0,2.0,3.0,1.0,3.0,1.0,-0.0,0.0,7.0,2.0,1.0,
com.google.common.base.CharMatcher.NegatedFastMatcher,9.0,2.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,
com.google.common.base.CharMatcher.BitSetMatcher,19.0,3.0,9.0,5.0,4.0,6.0,-0.0,0.0,0.0,4.0,1.0,
com.google.common.base.CharMatcher.Any,78.0,16.0,26.0,7.0,4.0,12.0,1.0666666666666667,1.0,0.0,17.0,0.0,
com.google.common.base.CharMatcher.None,82.0,18.0,22.0,6.0,4.0,6.0,1.0588235294117647,1.0,0.0,18.0,0.0,
com.google.common.base.CharMatcher.Whitespace,25.0,3.0,7.0,5.0,4.0,4.0,1.0,0.6666666666666667,0.0,4.0,3.0,
com.google.common.base.CharMatcher.BreakingWhitespace,29.0,2.0,2.0,3.0,2.0,0.0,2.0,1.0,0.0,18.0,1.0,
com.google.common.base.CharMatcher.Ascii,10.0,2.0,3.0,2.0,4.0,1.0,2.0,1.0,0.0,2.0,0.0,
com.google.common.base.CharMatcher.RangesMatcher,31.0,3.0,5.0,4.0,2.0,2.0,0.5,0.33333333333333337,3.0,8.0,3.0,
com.google.common.base.CharMatcher.Digit,20.0,3.0,7.0,2.0,3.0,4.0,1.0,0.6666666666666667,0.0,4.0,1.0,
com.google.common.base.CharMatcher.JavaDigit,11.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,
com.google.common.base.CharMatcher.JavaLetter,11.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,
com.google.common.base.CharMatcher.JavaLetterOrDigit,11.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,
com.google.common.base.CharMatcher.JavaUpperCase,11.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,
com.google.common.base.CharMatcher.JavaLowerCase,11.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,
com.google.common.base.CharMatcher.JavaIsoControl,10.0,2.0,3.0,2.0,4.0,1.0,2.0,1.0,0.0,2.0,0.0,
com.google.common.base.CharMatcher.Invisible,15.0,1.0,4.0,1.0,3.0,3.0,0.0,0.33333333333333337,0.0,1.0,2.0,
com.google.common.base.CharMatcher.SingleWidth,9.0,1.0,3.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,
com.google.common.base.CharMatcher.Negated,38.0,8.0,18.0,7.0,2.0,10.0,-0.0,0.0,1.0,8.0,1.0,
com.google.common.base.CharMatcher.And,26.0,4.0,12.0,5.0,2.0,8.0,-0.0,0.0,0.0,4.0,2.0,
com.google.common.base.CharMatcher.Or,22.0,4.0,9.0,5.0,2.0,5.0,-0.0,0.0,0.0,4.0,2.0,
com.google.common.base.CharMatcher.Is,35.0,8.0,16.0,6.0,3.0,8.0,-0.0,0.0,0.0,8.0,1.0,
com.google.common.base.CharMatcher.IsNot,32.0,7.0,13.0,5.0,3.0,6.0,-0.0,0.0,0.0,7.0,1.0,
com.google.common.base.CharMatcher.IsEither,22.0,4.0,6.0,4.0,3.0,2.0,-0.0,0.0,0.0,4.0,2.0,
com.google.common.base.CharMatcher.AnyOf,27.0,4.0,13.0,7.0,2.0,9.0,-0.0,0.0,0.0,6.0,1.0,
com.google.common.base.CharMatcher.InRange,26.0,4.0,7.0,4.0,3.0,3.0,-0.0,0.0,0.0,4.0,2.0,
com.google.common.base.CharMatcher.ForPredicate,19.0,4.0,6.0,6.0,2.0,2.0,-0.0,0.0,0.0,4.0,1.0,
com.google.common.base.Charsets,15.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,
com.google.common.base.Converter,239.0,15.0,43.0,20.0,1.0,29.0,0.9285714285714286,0.8666666666666667,12.0,23.0,2.0,
com.google.common.base.Converter.ReverseConverter,46.0,9.0,14.0,10.0,2.0,5.0,0.6875,0.6111111111111112,0.0,13.0,2.0,
com.google.common.base.Converter.ConverterComposition,44.0,8.0,17.0,11.0,2.0,9.0,0.5714285714285714,0.5,0.0,12.0,3.0,
com.google.common.base.Converter.FunctionBasedConverter,36.0,6.0,13.0,9.0,2.0,7.0,0.2,0.16666666666666663,0.0,8.0,2.0,
com.google.common.base.Converter.IdentityConverter,27.0,6.0,7.0,6.0,2.0,1.0,1.1,0.9166666666666666,0.0,6.0,1.0,
com.google.common.base.Defaults,26.0,3.0,6.0,5.0,0.0,3.0,1.0,0.6666666666666667,0.0,3.0,1.0,
com.google.common.base.Enums,82.0,6.0,24.0,16.0,0.0,18.0,0.8,0.6666666666666667,0.0,10.0,1.0,
com.google.common.base.Enums.StringConverter,32.0,6.0,12.0,8.0,2.0,6.0,0.7,0.5833333333333333,0.0,8.0,2.0,
com.google.common.base.Equivalence,140.0,11.0,25.0,15.0,0.0,14.0,0.0,0.0,4.0,17.0,0.0,
com.google.common.base.Equivalence.Equals,15.0,3.0,5.0,4.0,1.0,2.0,1.25,0.8333333333333334,0.0,3.0,1.0,
com.google.common.base.Equivalence.Identity,15.0,3.0,4.0,4.0,1.0,1.0,1.25,0.8333333333333334,0.0,3.0,1.0,
com.google.common.base.Equivalence.Wrapper,36.0,5.0,9.0,8.0,1.0,4.0,0.5,0.4,0.0,10.0,3.0,
com.google.common.base.Equivalence.EquivalentToPredicate,32.0,5.0,10.0,8.0,1.0,5.0,0.41666666666666663,0.33333333333333337,0.0,9.0,3.0,
com.google.common.base.FinalizablePhantomReference,7.0,1.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,
com.google.common.base.FinalizableReference,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,
com.google.common.base.FinalizableReferenceQueue,139.0,5.0,36.0,17.0,1.0,31.0,0.875,0.7,0.0,16.0,6.0,
com.google.common.base.FinalizableReferenceQueue.FinalizerLoader,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,
com.google.common.base.FinalizableReferenceQueue.SystemLoader,25.0,1.0,4.0,3.0,1.0,3.0,0.0,0.0,0.0,10.0,1.0,
com.google.common.base.FinalizableReferenceQueue.DecoupledLoader,33.0,3.0,18.0,7.0,1.0,15.0,1.0,0.6666666666666667,0.0,9.0,1.0,
com.google.common.base.FinalizableReferenceQueue.DirectLoader,10.0,1.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,
com.google.common.base.FinalizableSoftReference,7.0,1.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,
com.google.common.base.FinalizableWeakReference,7.0,1.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,
com.google.common.base.Function,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,
com.google.common.base.FunctionalEquivalence,38.0,6.0,13.0,10.0,1.0,7.0,0.4,0.33333333333333337,0.0,10.0,3.0,
com.google.common.base.Functions,224.0,9.0,36.0,23.0,0.0,28.0,0.0,0.0,0.0,9.0,0.0,
com.google.common.base.Functions.FunctionForMapNoDefault,29.0,5.0,11.0,9.0,1.0,6.0,0.625,0.5,0.0,7.0,2.0,
com.google.common.base.Functions.ForMapWithDefault,30.0,5.0,11.0,9.0,1.0,6.0,0.41666666666666663,0.33333333333333337,0.0,7.0,3.0,
com.google.common.base.Functions.FunctionComposition,29.0,5.0,12.0,10.0,1.0,7.0,0.41666666666666663,0.33333333333333337,0.0,7.0,3.0,
com.google.common.base.Functions.PredicateFunction,27.0,5.0,9.0,9.0,1.0,4.0,0.625,0.5,0.0,7.0,2.0,
com.google.common.base.Functions.ConstantFunction,27.0,5.0,7.0,7.0,1.0,2.0,0.625,0.5,0.0,7.0,2.0,
com.google.common.base.Functions.SupplierFunction,27.0,5.0,9.0,8.0,1.0,4.0,0.625,0.5,0.0,7.0,2.0,
com.google.common.base.internal.Finalizer,94.0,6.0,26.0,16.0,1.0,20.0,0.7,0.5833333333333333,0.0,26.0,6.0,
com.google.common.base.Joiner,223.0,21.0,30.0,16.0,0.0,21.0,0.75,0.7142857142857143,0.0,42.0,1.0,
com.google.common.base.Joiner.MapJoiner,69.0,11.0,19.0,11.0,0.0,15.0,0.8,0.7272727272727273,0.0,15.0,2.0,
com.google.common.base.MoreObjects,123.0,5.0,20.0,15.0,0.0,17.0,0.0,0.0,0.0,5.0,0.0,
com.google.common.base.MoreObjects.ToStringHelper,103.0,20.0,17.0,12.0,0.0,11.0,0.9736842105263158,0.925,0.0,25.0,4.0,
com.google.common.base.MoreObjects.ToStringHelper.ValueHolder,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
com.google.common.base.Objects,128.0,7.0,20.0,15.0,0.0,15.0,0.0,0.0,0.0,7.0,0.0,
com.google.common.base.Objects.ToStringHelper,96.0,20.0,12.0,12.0,0.0,6.0,0.9736842105263158,0.925,0.0,23.0,4.0,
com.google.common.base.Objects.ToStringHelper.ValueHolder,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
com.google.common.base.Optional,57.0,16.0,23.0,7.0,1.0,9.0,1.0666666666666667,1.0,2.0,19.0,1.0,
com.google.common.base.PairwiseEquivalence,43.0,6.0,17.0,10.0,1.0,11.0,0.6,0.5,0.0,12.0,2.0,
com.google.common.base.Platform,16.0,4.0,12.0,8.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,
