Class,LOC,NOM,RFC,CBO,DIT,MPC,LCOM5,LCOM2,NOC,CYCLO,DAC
org.jfree.chart.annotations.AbstractXYAnnotation,64.0,9.0,16.0,9.0,1.0,7.0,0.4375,0.38888888888888884,7.0,22.0,2.0,
org.jfree.chart.annotations.CategoryAnnotation,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,
org.jfree.chart.annotations.CategoryLineAnnotation,173.0,19.0,53.0,21.0,1.0,34.0,0.738095238095238,0.6992481203007519,0.0,54.0,9.0,
org.jfree.chart.annotations.CategoryPointerAnnotation,204.0,23.0,68.0,27.0,3.0,45.0,0.8603896103896105,0.8229813664596273,0.0,50.0,16.0,
org.jfree.chart.annotations.CategoryTextAnnotation,106.0,11.0,43.0,20.0,2.0,32.0,0.65,0.5909090909090908,1.0,32.0,4.0,
org.jfree.chart.annotations.TextAnnotation,123.0,17.0,36.0,14.0,1.0,19.0,0.8697916666666666,0.8186274509803921,1.0,43.0,13.0,
org.jfree.chart.annotations.XYAnnotation,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
org.jfree.chart.annotations.XYBoxAnnotation,127.0,9.0,35.0,21.0,2.0,28.0,0.484375,0.4305555555555556,0.0,32.0,11.0,
org.jfree.chart.annotations.XYDrawableAnnotation,87.0,5.0,22.0,19.0,2.0,17.0,0.45833333333333337,0.3666666666666667,0.0,24.0,6.0,
org.jfree.chart.annotations.XYImageAnnotation,115.0,12.0,38.0,25.0,2.0,27.0,0.7272727272727273,0.6666666666666667,0.0,33.0,6.0,
org.jfree.chart.annotations.XYLineAnnotation,131.0,8.0,36.0,25.0,2.0,29.0,0.5306122448979592,0.4642857142857143,0.0,33.0,9.0,
org.jfree.chart.annotations.XYPointerAnnotation,206.0,23.0,69.0,25.0,3.0,46.0,0.8603896103896105,0.8229813664596273,0.0,51.0,16.0,
org.jfree.chart.annotations.XYPolygonAnnotation,146.0,13.0,48.0,21.0,2.0,37.0,0.5833333333333334,0.5384615384615384,0.0,38.0,8.0,
org.jfree.chart.annotations.XYShapeAnnotation,125.0,9.0,49.0,22.0,2.0,42.0,0.42500000000000004,0.37777777777777777,0.0,29.0,9.0,
org.jfree.chart.annotations.XYTextAnnotation,190.0,23.0,55.0,24.0,2.0,32.0,0.8863636363636364,0.8478260869565217,1.0,59.0,15.0,
org.jfree.chart.axis.Axis,513.0,56.0,119.0,30.0,1.0,63.0,0.9606879606879607,0.9435328185328186,2.0,152.0,45.0,
org.jfree.chart.axis.AxisCollection,44.0,6.0,12.0,5.0,0.0,6.0,0.6,0.5,0.0,17.0,4.0,
org.jfree.chart.axis.AxisLocation,71.0,6.0,10.0,6.0,1.0,5.0,0.8333333333333334,0.6944444444444444,0.0,34.0,2.0,
org.jfree.chart.axis.AxisSpace,181.0,19.0,32.0,12.0,1.0,14.0,0.5222222222222223,0.49473684210526314,0.0,63.0,5.0,
org.jfree.chart.axis.AxisState,56.0,13.0,14.0,4.0,0.0,2.0,0.75,0.6923076923076923,0.0,19.0,3.0,
org.jfree.chart.axis.CategoryAnchor,41.0,4.0,7.0,4.0,1.0,3.0,0.9333333333333332,0.7,0.0,18.0,2.0,
org.jfree.chart.axis.CategoryAxis,631.0,48.0,168.0,46.0,2.0,122.0,0.9328968903436988,0.9134615384615384,3.0,176.0,14.0,
org.jfree.chart.axis.CategoryAxis3D,86.0,5.0,29.0,15.0,3.0,25.0,1.25,1.0,0.0,20.0,1.0,
org.jfree.chart.axis.CategoryLabelPosition,106.0,12.0,17.0,11.0,1.0,8.0,0.7402597402597402,0.6785714285714286,0.0,33.0,7.0,
org.jfree.chart.axis.CategoryLabelPositions,258.0,11.0,21.0,8.0,1.0,11.0,0.9,0.8181818181818181,0.0,53.0,5.0,
org.jfree.chart.axis.CategoryLabelWidthType,41.0,4.0,8.0,5.0,1.0,4.0,0.9166666666666666,0.6875,0.0,17.0,2.0,
org.jfree.chart.axis.CategoryTick,50.0,6.0,12.0,10.0,2.0,6.0,0.4,0.33333333333333337,0.0,16.0,3.0,
org.jfree.chart.axis.ColorBar,212.0,17.0,76.0,23.0,1.0,59.0,0.84375,0.7941176470588236,0.0,57.0,10.0,
org.jfree.chart.axis.CompassFormat,32.0,5.0,7.0,8.0,1.0,3.0,1.2,0.96,0.0,6.0,5.0,
org.jfree.chart.axis.CyclicNumberAxis,652.0,34.0,107.0,34.0,4.0,76.0,0.8953168044077136,0.8689839572192514,0.0,154.0,15.0,
org.jfree.chart.axis.CyclicNumberAxis.CycleBoundTick,9.0,1.0,2.0,6.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,
org.jfree.chart.axis.DateAxis,959.0,48.0,171.0,43.0,3.0,130.0,0.9516441005802708,0.9318181818181819,0.0,213.0,11.0,
org.jfree.chart.axis.DateAxis.DefaultTimeline,35.0,8.0,6.0,4.0,1.0,1.0,0.0,0.0,0.0,14.0,0.0,
org.jfree.chart.axis.DateTick,28.0,4.0,9.0,8.0,3.0,5.0,-0.0,0.0,0.0,10.0,1.0,
org.jfree.chart.axis.DateTickMarkPosition,41.0,4.0,7.0,4.0,1.0,3.0,0.9333333333333332,0.7,0.0,18.0,2.0,
org.jfree.chart.axis.DateTickUnit,159.0,19.0,28.0,12.0,2.0,14.0,0.8571428571428572,0.8120300751879699,0.0,60.0,14.0,
org.jfree.chart.axis.ExtendedCategoryAxis,89.0,11.0,34.0,20.0,3.0,23.0,0.675,0.6136363636363636,0.0,30.0,5.0,
org.jfree.chart.axis.LogarithmicAxis,547.0,28.0,72.0,19.0,4.0,45.0,0.8962962962962963,0.8642857142857143,0.0,144.0,10.0,
org.jfree.chart.axis.LogAxis,447.0,34.0,117.0,34.0,3.0,85.0,0.8686868686868687,0.8431372549019608,0.0,100.0,6.0,
org.jfree.chart.axis.MarkerAxisBand,122.0,7.0,48.0,18.0,1.0,41.0,0.5625,0.4821428571428571,0.0,26.0,8.0,
org.jfree.chart.axis.ModuloAxis,207.0,17.0,36.0,9.0,4.0,20.0,0.41666666666666663,0.3921568627450981,0.0,64.0,3.0,
org.jfree.chart.axis.MonthDateFormat,132.0,11.0,29.0,18.0,1.0,24.0,0.8,0.7272727272727273,0.0,23.0,3.0,
org.jfree.chart.axis.NumberAxis,715.0,38.0,118.0,37.0,3.0,84.0,0.9582309582309582,0.9330143540669856,5.0,137.0,11.0,
org.jfree.chart.axis.NumberAxis3D,48.0,3.0,21.0,14.0,4.0,19.0,1.5,1.0,0.0,9.0,1.0,
org.jfree.chart.axis.NumberTick,18.0,3.0,5.0,7.0,3.0,3.0,-0.0,0.0,1.0,2.0,1.0,
org.jfree.chart.axis.NumberTickUnit,50.0,7.0,16.0,9.0,2.0,11.0,0.75,0.6428571428571428,0.0,17.0,2.0,
org.jfree.chart.axis.PeriodAxis,614.0,46.0,177.0,44.0,3.0,133.0,0.8857142857142857,0.8664596273291926,0.0,157.0,16.0,
org.jfree.chart.axis.PeriodAxisLabelInfo,156.0,16.0,35.0,18.0,1.0,20.0,0.8761904761904762,0.8214285714285714,0.0,50.0,17.0,
org.jfree.chart.axis.QuarterDateFormat,68.0,7.0,14.0,12.0,1.0,10.0,0.9722222222222222,0.8333333333333334,0.0,16.0,6.0,
org.jfree.chart.axis.SegmentedTimeline,653.0,45.0,123.0,16.0,1.0,87.0,0.9642857142857143,0.9428571428571428,0.0,102.0,20.0,
