Class,LOC,NOM,RFC,CBO,DIT,MPC,LCOM5,LCOM2,NOC,CYCLO,DAC
net.n3.nanoxml.CDATAReader,86.0,4.0,7.0,4.0,1.0,3.0,0.22222222222222218,0.16666666666666663,0.0,24.0,3.0,
net.n3.nanoxml.ContentReader,102.0,4.0,15.0,6.0,1.0,11.0,0.08333333333333333,0.0625,0.0,25.0,4.0,
net.n3.nanoxml.IXMLBuilder,35.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,
net.n3.nanoxml.IXMLElement,80.0,50.0,35.0,0.0,0.0,0.0,1.0204081632653061,1.0,1.0,35.0,1.0,
net.n3.nanoxml.IXMLEntityResolver,12.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,
net.n3.nanoxml.IXMLParser,13.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,
net.n3.nanoxml.IXMLReader,26.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,
net.n3.nanoxml.IXMLValidator,31.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,
net.n3.nanoxml.NonValidator,366.0,15.0,69.0,15.0,1.0,54.0,0.6904761904761906,0.6444444444444444,0.0,88.0,3.0,
net.n3.nanoxml.PIReader,60.0,4.0,7.0,4.0,1.0,3.0,0.16666666666666666,0.125,0.0,15.0,2.0,
net.n3.nanoxml.StdXMLBuilder,133.0,11.0,37.0,10.0,1.0,27.0,0.5666666666666667,0.5151515151515151,0.0,27.0,3.0,
net.n3.nanoxml.StdXMLParser,421.0,19.0,110.0,19.0,1.0,91.0,0.5277777777777778,0.5,0.0,95.0,4.0,
net.n3.nanoxml.StdXMLReader,312.0,21.0,75.0,19.0,1.0,57.0,0.4,0.38095238095238093,0.0,77.0,2.0,
net.n3.nanoxml.StdXMLReader.StackedReader,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
net.n3.nanoxml.ValidatorPlugin,147.0,20.0,37.0,7.0,1.0,17.0,0.42105263157894735,0.4,0.0,20.0,1.0,
net.n3.nanoxml.XMLAttribute,44.0,7.0,7.0,1.0,0.0,0.0,0.7999999999999999,0.6857142857142857,0.0,7.0,5.0,
net.n3.nanoxml.XMLElement,503.0,60.0,105.0,16.0,1.0,65.0,0.8412942989214176,0.8272727272727273,0.0,151.0,11.0,
net.n3.nanoxml.XMLEntityResolver,70.0,7.0,19.0,8.0,1.0,12.0,0.16666666666666666,0.1428571428571429,0.0,17.0,1.0,
net.n3.nanoxml.XMLException,109.0,14.0,17.0,6.0,1.0,9.0,0.6538461538461539,0.6071428571428572,2.0,15.0,4.0,
net.n3.nanoxml.XMLParseException,14.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,
net.n3.nanoxml.XMLParserFactory,40.0,3.0,10.0,6.0,0.0,8.0,0.5,0.33333333333333337,0.0,5.0,2.0,
net.n3.nanoxml.XMLUtil,400.0,27.0,60.0,10.0,0.0,33.0,0.0,0.0,0.0,97.0,0.0,
net.n3.nanoxml.XMLValidationException,55.0,5.0,7.0,3.0,2.0,2.0,1.0416666666666667,0.8333333333333334,0.0,5.0,12.0,
net.n3.nanoxml.XMLWriter,170.0,8.0,36.0,10.0,0.0,32.0,0.42857142857142855,0.375,0.0,48.0,1.0,
org.apache.batik.ext.awt.image.GraphicsUtil,343.0,16.0,61.0,18.0,0.0,47.0,1.0476190476190477,0.9821428571428571,0.0,90.0,7.0,
org.apache.batik.ext.awt.LinearGradientPaint,84.0,8.0,22.0,17.0,2.0,18.0,0.42857142857142855,0.375,0.0,10.0,1.0,
org.apache.batik.ext.awt.LinearGradientPaintContext,341.0,6.0,17.0,15.0,2.0,11.0,0.48571428571428565,0.40476190476190477,0.0,94.0,4.0,
org.apache.batik.ext.awt.MultipleGradientPaint,91.0,7.0,11.0,8.0,1.0,4.0,0.9090909090909092,0.7792207792207793,2.0,24.0,11.0,
org.apache.batik.ext.awt.MultipleGradientPaint.ColorSpaceEnum,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
org.apache.batik.ext.awt.MultipleGradientPaint.CycleMethodEnum,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
org.apache.batik.ext.awt.MultipleGradientPaintContext,863.0,18.0,57.0,17.0,1.0,39.0,0.9042016806722689,0.8539682539682539,2.0,195.0,30.0,
org.apache.batik.ext.awt.RadialGradientPaint,115.0,11.0,23.0,17.0,2.0,18.0,0.4666666666666667,0.4242424242424242,0.0,13.0,3.0,
org.apache.batik.ext.awt.RadialGradientPaintContext,365.0,6.0,17.0,14.0,2.0,11.0,0.8,0.6666666666666667,0.0,41.0,15.0,
org.jhotdraw.app.AbstractApplication,186.0,31.0,76.0,19.0,2.0,45.0,0.94,0.9096774193548387,4.0,45.0,10.0,
org.jhotdraw.app.AbstractView,136.0,30.0,49.0,14.0,1.0,19.0,0.9655172413793104,0.9333333333333333,6.0,39.0,11.0,
org.jhotdraw.app.action.AboutAction,16.0,2.0,12.0,5.0,2.0,10.0,1.0,0.5,0.0,2.0,1.0,
org.jhotdraw.app.action.AbstractApplicationAction,47.0,8.0,14.0,4.0,1.0,6.0,0.5714285714285714,0.5,7.0,10.0,2.0,
org.jhotdraw.app.action.AbstractSaveBeforeAction,111.0,6.0,44.0,14.0,2.0,38.0,0.6,0.5,4.0,29.0,1.0,
org.jhotdraw.app.action.AbstractViewAction,83.0,12.0,22.0,6.0,1.0,11.0,0.9393939393939394,0.8611111111111112,18.0,15.0,6.0,
org.jhotdraw.app.action.Actions,27.0,3.0,11.0,6.0,0.0,8.0,1.375,0.9166666666666666,0.0,5.0,4.0,
org.jhotdraw.app.action.ArrangeAction,24.0,2.0,5.0,5.0,1.0,3.0,0.6000000000000001,0.30000000000000004,0.0,9.0,5.0,
org.jhotdraw.app.action.ClearAction,20.0,2.0,8.0,4.0,3.0,6.0,2.0,1.0,0.0,2.0,1.0,
org.jhotdraw.app.action.ClearRecentFilesAction,36.0,6.0,19.0,6.0,2.0,13.0,1.0,0.8333333333333334,0.0,8.0,2.0,
org.jhotdraw.app.action.CloseAction,14.0,2.0,7.0,4.0,3.0,5.0,1.0,0.5,0.0,3.0,1.0,
org.jhotdraw.app.action.CopyAction,20.0,2.0,10.0,5.0,1.0,8.0,1.0,0.5,0.0,3.0,1.0,
org.jhotdraw.app.action.CutAction,20.0,2.0,10.0,5.0,1.0,8.0,1.0,0.5,0.0,3.0,1.0,
org.jhotdraw.app.action.DeleteAction,40.0,3.0,21.0,9.0,1.0,18.0,1.0,0.6666666666666667,0.0,11.0,1.0,
org.jhotdraw.app.action.DuplicateAction,19.0,2.0,9.0,4.0,1.0,7.0,1.0,0.5,0.0,5.0,1.0,
org.jhotdraw.app.action.ExitAction,266.0,11.0,56.0,15.0,2.0,45.0,0.5666666666666667,0.5151515151515151,0.0,65.0,3.0,
org.jhotdraw.app.action.ExportAction,67.0,4.0,29.0,12.0,2.0,25.0,0.8333333333333334,0.625,0.0,12.0,2.0,
org.jhotdraw.app.action.FindAction,16.0,2.0,8.0,6.0,2.0,6.0,1.0,0.5,0.0,3.0,1.0,
org.jhotdraw.app.action.FocusAction,73.0,6.0,32.0,11.0,1.0,26.0,0.5,0.41666666666666663,0.0,18.0,2.0,
