Class,LOC,NOM,RFC,CBO,DIT,MPC,LCOM5,LCOM2,NOC,CYCLO,DAC
org.joda.beans.Bean,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,0.0,
org.joda.beans.BeanBuilder,10.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,
org.joda.beans.BeanIterator,44.0,5.0,24.0,12.0,1.0,19.0,0.5,0.4,0.0,14.0,1.0,
org.joda.beans.BeanQuery,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,
org.joda.beans.DynamicBean,8.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,
org.joda.beans.DynamicMetaBean,10.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,
org.joda.beans.gen.BeanCodeGen,209.0,9.0,53.0,18.0,0.0,45.0,0.59375,0.5277777777777778,0.0,70.0,4.0,
org.joda.beans.gen.BeanGen,1358.0,71.0,246.0,20.0,0.0,175.0,0.9219780219780219,0.9089924160346695,0.0,384.0,26.0,
org.joda.beans.gen.BeanGenConfig,208.0,12.0,56.0,20.0,0.0,45.0,0.8636363636363636,0.7916666666666666,0.0,73.0,8.0,
org.joda.beans.gen.BuilderGen,53.0,2.0,12.0,4.0,0.0,10.0,0.0,0.0,3.0,2.0,0.0,
org.joda.beans.gen.BuilderGen.PatternBuilderGen,24.0,3.0,11.0,4.0,1.0,8.0,0.5,0.33333333333333337,0.0,5.0,2.0,
org.joda.beans.gen.BuilderGen.SimpleBuilderGen,16.0,3.0,8.0,4.0,1.0,5.0,0.5,0.33333333333333337,0.0,3.0,1.0,
org.joda.beans.gen.BuilderGen.NoBuilderGen,7.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,
org.joda.beans.gen.CopyGen,84.0,2.0,20.0,4.0,0.0,18.0,2.0,1.0,2.0,2.0,0.0,
org.joda.beans.gen.CopyGen.PatternCopyGen,66.0,4.0,20.0,4.0,1.0,17.0,0.3333333333333333,0.25,0.0,15.0,2.0,
org.joda.beans.gen.CopyGen.NoCopyGen,11.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,
org.joda.beans.gen.GeneratableBean,328.0,70.0,76.0,7.0,0.0,8.0,0.9725672877846792,0.9586734693877551,0.0,106.0,28.0,
org.joda.beans.gen.GeneratableProperty,474.0,70.0,112.0,16.0,0.0,42.0,0.9769189479334407,0.962962962962963,0.0,197.0,27.0,
org.joda.beans.gen.GetterGen,164.0,3.0,17.0,8.0,0.0,14.0,0.0,0.0,8.0,6.0,0.0,
org.joda.beans.gen.GetterGen.GetGetterGen,16.0,3.0,6.0,5.0,1.0,3.0,0.75,0.5,0.0,3.0,1.0,
org.joda.beans.gen.GetterGen.IsGetterGen,19.0,4.0,8.0,5.0,1.0,4.0,0.7777777777777777,0.5833333333333333,0.0,4.0,1.0,
org.joda.beans.gen.GetterGen.CloneGetterGen,15.0,3.0,6.0,5.0,1.0,3.0,0.6666666666666666,0.4444444444444444,0.0,3.0,1.0,
org.joda.beans.gen.GetterGen.CloneCastGetterGen,15.0,3.0,7.0,5.0,1.0,4.0,0.6666666666666666,0.4444444444444444,0.0,3.0,1.0,
org.joda.beans.gen.GetterGen.Optional8GetterGen,37.0,2.0,12.0,4.0,1.0,10.0,2.0,1.0,0.0,11.0,1.0,
org.joda.beans.gen.GetterGen.OptionalGuavaGetterGen,23.0,2.0,11.0,4.0,1.0,9.0,2.0,1.0,0.0,5.0,1.0,
org.joda.beans.gen.GetterGen.ManualGetterGen,7.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,
org.joda.beans.gen.GetterGen.NoGetterGen,11.0,2.0,4.0,3.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,
