Class,LOC,NOM,RFC,CBO,DIT,MPC,LCOM5,LCOM2,NOC,CYCLO,DAC
org.apache.html.dom.HTMLAnchorElementImpl,118.0,27.0,35.0,4.0,6.0,8.0,1.0384615384615385,1.0,0.0,29.0,1.0,
org.apache.html.dom.HTMLAppletElementImpl,98.0,23.0,26.0,3.0,6.0,3.0,1.0454545454545454,1.0,0.0,23.0,1.0,
org.apache.html.dom.HTMLAreaElementImpl,80.0,17.0,26.0,5.0,6.0,9.0,1.0625,1.0,0.0,19.0,1.0,
org.apache.html.dom.HTMLBaseElementImpl,26.0,5.0,8.0,3.0,6.0,3.0,1.25,1.0,0.0,5.0,1.0,
org.apache.html.dom.HTMLBaseFontElementImpl,34.0,7.0,11.0,3.0,6.0,4.0,1.1666666666666667,1.0,0.0,7.0,1.0,
org.apache.html.dom.HTMLBodyElementImpl,58.0,13.0,16.0,3.0,6.0,3.0,1.0833333333333333,1.0,0.0,13.0,1.0,
org.apache.html.dom.HTMLBRElementImpl,18.0,3.0,7.0,3.0,6.0,4.0,1.5,1.0,0.0,3.0,1.0,
org.apache.html.dom.HTMLBuilder,120.0,10.0,31.0,14.0,1.0,22.0,0.7222222222222222,0.65,0.0,43.0,6.0,
org.apache.html.dom.HTMLButtonElementImpl,67.0,12.0,21.0,5.0,6.0,9.0,1.0909090909090908,1.0,0.0,16.0,1.0,
org.apache.html.dom.HTMLCollectionImpl,178.0,9.0,19.0,10.0,1.0,13.0,0.9519230769230769,0.8461538461538461,0.0,62.0,13.0,
org.apache.html.dom.CollectionIndex,20.0,4.0,4.0,2.0,0.0,0.0,-0.0,0.0,0.0,4.0,1.0,
org.apache.html.dom.HTMLDirectoryElementImpl,18.0,3.0,6.0,4.0,6.0,3.0,1.5,1.0,0.0,3.0,1.0,
org.apache.html.dom.HTMLDivElementImpl,18.0,3.0,7.0,3.0,6.0,4.0,1.5,1.0,0.0,3.0,1.0,
org.apache.html.dom.HTMLDListElementImpl,18.0,3.0,6.0,4.0,6.0,3.0,1.5,1.0,0.0,3.0,1.0,
org.apache.html.dom.HTMLDocumentImpl,432.0,33.0,88.0,24.0,6.0,57.0,0.9861111111111112,0.9562289562289562,0.0,87.0,9.0,
org.apache.html.dom.HTMLDOMImplementationImpl,23.0,3.0,6.0,5.0,3.0,3.0,1.0,0.6666666666666667,0.0,5.0,1.0,
org.apache.html.dom.HTMLElementImpl,153.0,23.0,43.0,10.0,5.0,20.0,1.0454545454545454,1.0,52.0,46.0,1.0,
org.apache.html.dom.HTMLFieldSetElementImpl,10.0,1.0,2.0,2.0,6.0,1.0,0.0,1.0,0.0,1.0,1.0,
org.apache.html.dom.HTMLFontElementImpl,34.0,7.0,11.0,3.0,6.0,4.0,1.1666666666666667,1.0,0.0,7.0,1.0,
org.apache.html.dom.HTMLFormControl,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,
org.apache.html.dom.HTMLFormElementImpl,83.0,19.0,26.0,10.0,6.0,7.0,1.0,0.9473684210526316,0.0,20.0,2.0,
org.apache.html.dom.HTMLFrameElementImpl,74.0,17.0,22.0,4.0,6.0,5.0,1.0625,1.0,0.0,17.0,1.0,
org.apache.html.dom.HTMLFrameSetElementImpl,26.0,5.0,8.0,3.0,6.0,3.0,1.25,1.0,0.0,5.0,1.0,
org.apache.html.dom.HTMLHeadElementImpl,18.0,3.0,6.0,3.0,6.0,3.0,1.5,1.0,0.0,3.0,1.0,
org.apache.html.dom.HTMLHeadingElementImpl,18.0,3.0,6.0,3.0,6.0,3.0,1.5,1.0,0.0,3.0,1.0,
org.apache.html.dom.HTMLHRElementImpl,42.0,9.0,14.0,4.0,6.0,5.0,1.125,1.0,0.0,9.0,1.0,
org.apache.html.dom.HTMLHtmlElementImpl,18.0,3.0,7.0,3.0,6.0,4.0,1.5,1.0,0.0,3.0,1.0,
org.apache.html.dom.HTMLIFrameElementImpl,90.0,21.0,25.0,3.0,6.0,4.0,1.05,1.0,0.0,21.0,1.0,
org.apache.html.dom.HTMLImageElementImpl,114.0,27.0,32.0,4.0,6.0,5.0,1.0384615384615385,1.0,0.0,27.0,1.0,
org.apache.html.dom.HTMLInputElementImpl,167.0,38.0,48.0,5.0,6.0,10.0,1.027027027027027,1.0,0.0,42.0,1.0,
org.apache.html.dom.HTMLIsIndexElementImpl,18.0,3.0,6.0,3.0,6.0,3.0,1.5,1.0,0.0,3.0,1.0,
org.apache.html.dom.HTMLLabelElementImpl,32.0,5.0,10.0,3.0,6.0,5.0,1.25,1.0,0.0,7.0,1.0,
org.apache.html.dom.HTMLLegendElementImpl,32.0,5.0,10.0,3.0,6.0,5.0,1.25,1.0,0.0,7.0,1.0,
org.apache.html.dom.HTMLLIElementImpl,26.0,5.0,10.0,4.0,6.0,5.0,1.25,1.0,0.0,5.0,1.0,
org.apache.html.dom.HTMLLinkElementImpl,82.0,19.0,23.0,4.0,6.0,4.0,1.0555555555555556,1.0,0.0,19.0,1.0,
org.apache.html.dom.HTMLMapElementImpl,31.0,5.0,10.0,8.0,6.0,5.0,1.0,0.8,0.0,6.0,2.0,
org.apache.html.dom.HTMLMenuElementImpl,18.0,3.0,6.0,4.0,6.0,3.0,1.5,1.0,0.0,3.0,1.0,
org.apache.html.dom.HTMLMetaElementImpl,42.0,9.0,12.0,3.0,6.0,3.0,1.125,1.0,0.0,9.0,1.0,
org.apache.html.dom.HTMLModElementImpl,26.0,5.0,8.0,3.0,6.0,3.0,1.25,1.0,0.0,5.0,1.0,
org.apache.html.dom.HTMLObjectElementImpl,153.0,35.0,42.0,5.0,6.0,7.0,1.0294117647058822,1.0,0.0,37.0,1.0,
org.apache.html.dom.HTMLOListElementImpl,34.0,7.0,13.0,5.0,6.0,6.0,1.1666666666666667,1.0,0.0,7.0,1.0,
org.apache.html.dom.HTMLOptGroupElementImpl,26.0,5.0,10.0,4.0,6.0,5.0,1.25,1.0,0.0,5.0,1.0,
org.apache.html.dom.HTMLOptionElementImpl,113.0,15.0,36.0,8.0,6.0,21.0,1.0714285714285714,1.0,0.0,26.0,1.0,
org.apache.html.dom.HTMLParagraphElementImpl,18.0,3.0,6.0,3.0,6.0,3.0,1.5,1.0,0.0,3.0,1.0,
org.apache.html.dom.HTMLParamElementImpl,42.0,9.0,13.0,3.0,6.0,4.0,1.125,1.0,0.0,9.0,1.0,
org.apache.html.dom.HTMLPreElementImpl,18.0,3.0,8.0,4.0,6.0,5.0,1.5,1.0,0.0,3.0,1.0,
org.apache.html.dom.HTMLQuoteElementImpl,18.0,3.0,6.0,3.0,6.0,3.0,1.5,1.0,0.0,3.0,1.0,
org.apache.html.dom.HTMLScriptElementImpl,85.0,15.0,29.0,6.0,6.0,14.0,1.0714285714285714,1.0,0.0,18.0,1.0,
org.apache.html.dom.HTMLSelectElementImpl,118.0,24.0,41.0,11.0,6.0,17.0,1.0,0.9583333333333334,0.0,30.0,2.0,
org.apache.html.dom.HTMLStyleElementImpl,34.0,7.0,11.0,4.0,6.0,4.0,1.1666666666666667,1.0,0.0,7.0,1.0,
org.apache.html.dom.HTMLTableCaptionElementImpl,18.0,3.0,6.0,3.0,6.0,3.0,1.5,1.0,0.0,3.0,1.0,
org.apache.html.dom.HTMLTableCellElementImpl,177.0,31.0,45.0,6.0,6.0,14.0,1.0333333333333334,1.0,0.0,43.0,1.0,
org.apache.html.dom.HTMLTableColElementImpl,64.0,13.0,21.0,4.0,6.0,8.0,1.0833333333333333,1.0,0.0,15.0,1.0,
org.apache.html.dom.HTMLTableElementImpl,278.0,37.0,60.0,16.0,6.0,23.0,0.9907407407407407,0.963963963963964,0.0,82.0,3.0,
org.apache.html.dom.HTMLTableRowElementImpl,172.0,21.0,42.0,12.0,6.0,22.0,1.0,0.9523809523809523,0.0,45.0,2.0,
org.apache.html.dom.HTMLTableSectionElementImpl,111.0,15.0,31.0,11.0,6.0,16.0,1.0,0.9333333333333333,0.0,27.0,2.0,
org.apache.html.dom.HTMLTextAreaElementImpl,101.0,23.0,31.0,5.0,6.0,8.0,1.0454545454545454,1.0,0.0,25.0,1.0,
org.apache.html.dom.HTMLTitleElementImpl,37.0,3.0,14.0,4.0,6.0,11.0,1.5,1.0,0.0,6.0,1.0,
org.apache.html.dom.HTMLUListElementImpl,26.0,5.0,9.0,4.0,6.0,4.0,1.25,1.0,0.0,5.0,1.0,
org.apache.html.dom.NameNodeListImpl,35.0,2.0,10.0,4.0,2.0,8.0,0.0,0.0,0.0,13.0,0.0,
org.apache.html.dom.ObjectFactory,261.0,7.0,38.0,17.0,0.0,32.0,0.9,0.7714285714285715,0.0,78.0,5.0,
org.apache.html.dom.ObjectFactory.ConfigurationError,12.0,2.0,3.0,2.0,1.0,1.0,1.0,0.5,0.0,2.0,2.0,
org.apache.html.dom.SecuritySupport,97.0,10.0,25.0,11.0,0.0,15.0,1.0,0.9,0.0,25.0,0.0,
org.apache.wml.dom.WMLAccessElementImpl,30.0,9.0,12.0,3.0,6.0,3.0,1.125,1.0,0.0,9.0,1.0,
org.apache.wml.dom.WMLAElementImpl,36.0,11.0,14.0,3.0,6.0,3.0,1.1,1.0,0.0,11.0,1.0,
org.apache.wml.dom.WMLAnchorElementImpl,30.0,9.0,12.0,3.0,6.0,3.0,1.125,1.0,0.0,9.0,1.0,
org.apache.wml.dom.WMLBElementImpl,24.0,7.0,10.0,3.0,6.0,3.0,1.1666666666666667,1.0,0.0,7.0,1.0,
org.apache.wml.dom.WMLBigElementImpl,24.0,7.0,10.0,3.0,6.0,3.0,1.1666666666666667,1.0,0.0,7.0,1.0,
org.apache.wml.dom.WMLBrElementImpl,24.0,7.0,10.0,3.0,6.0,3.0,1.1666666666666667,1.0,0.0,7.0,1.0,
org.apache.wml.dom.WMLCardElementImpl,60.0,19.0,22.0,4.0,6.0,3.0,1.0555555555555556,1.0,0.0,19.0,1.0,
org.apache.wml.dom.WMLDocumentImpl,69.0,2.0,13.0,9.0,6.0,11.0,1.3333333333333335,0.6666666666666667,0.0,8.0,3.0,
